 "Material" , "Resin" , "ReinforcementFiber" , "ZeroDegreeDirectionFiber_pct" , "FortyFiveDegreeDirectionFiber_pct" , "NinetyDegreeDirectionFiber_pct" , "OtherDegreeDirectionFiber_pct" , "GaugeSectionWidth_mm" , "GaugeSectionThickness_mm" , "MaximumStrain_pct" , "StressRatio" , "LoadCycle_time" ,
 "Biax-CH19-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "4.60" , "1.05" , "0.10" , "32613.00" ,
 "Biax-CH19-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "4.60" , "0.82" , "0.10" , "423198.00" ,
 "Biax-CH19-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "4.60" , "1.35" , "0.10" , "4586.00" ,
 "Biax-CH19-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "4.60" , "1.13" , "0.10" , "5100.00" ,
 "Biax-CH19-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "4.60" , "1.21" , "0.10" , "5507.00" ,
 "Biax-CH19-UP2" , "CoRezyn 63-AX-051" , "Knytex D092 (310 gsm)" , "16.0" , "84.0" , "0.0" , "0.0" , "25.0" , "4.60" , "1.43" , "0.10" , "850.00" ,
 "Biax-CH2-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.78" , "1.34" , "0.10" , "11276.00" ,
 "Biax-CH2-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.78" , "1.72" , "0.10" , "1342.00" ,
 "Biax-CH2-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.78" , "0.64" , "0.10" , "1855170.00" ,
 "Biax-CH2-UP2" , "CoRezyn 63-AX-051" , "Knytex D155 (527 gsm)" , "24.0" , "76.0" , "0.0" , "0.0" , "25.0" , "3.78" , "1.77" , "0.10" , "1917.00" ,
